Name;Method;Maximum/Quantité;Pt Controle/Periode;1er Commande;Metaheuristique
A01;OrderPoint;16535;10232;;Recuit
A02;OrderPoint;6217;3602;;Recuit
A03;OrderPoint;8002;1764;;Recuit
A04;OrderPoint;20516;1239;;Recuit
A05;OrderPoint;14415;9401;;Recuit
A06;OrderPoint;26578;1641;;Recuit
A07;OrderPoint;9044;3377;;Recuit
A08;OrderPoint;11128;4714;;Recuit
A09;OrderPoint;1086;2466;;Recuit
A10;OrderPoint;11670;1040;;Recuit
A11;OrderPoint;13103;8306;;Recuit
A12;OrderPoint;10516;7676;;Recuit
A13;OrderPoint;8115;10828;;Recuit
A14;OrderPoint;11141;8274;;Recuit
A15;OrderPoint;12686;9441;;Recuit
A16;OrderPoint;13596;8116;;Recuit
A17;OrderPoint;9364;662;;Recuit
A18;OrderPoint;9732;8703;;Recuit
A19;OrderPoint;14595;4325;;Recuit
A20;OrderPoint;9568;1341;;Recuit
A21;OrderPoint;8840;7710;;Recuit
A22;OrderPoint;18642;16524;;Recuit
A23;OrderPoint;17079;7017;;Recuit
A24;OrderPoint;18764;5133;;Recuit
A25;OrderPoint;12210;1442;;Recuit
A26;OrderPoint;17527;4392;;Recuit
A27;OrderPoint;3799;4607;;Recuit
A28;OrderPoint;2756;5570;;Recuit
A29;OrderPoint;17949;2164;;Recuit
A30;OrderPoint;15958;2690;;Recuit
A31;OrderPoint;14143;924;;Recuit
A32;OrderPoint;15545;1440;;Recuit
A33;OrderPoint;17395;1540;;Recuit
A34;OrderPoint;4671;8548;;Recuit
A35;OrderPoint;12906;13123;;Recuit
A36;OrderPoint;16546;3416;;Recuit
A37;OrderPoint;2001;2272;;Recuit
A38;OrderPoint;2367;5662;;Recuit
A39;OrderPoint;8976;8738;;Recuit
A40;OrderPoint;16985;4054;;Recuit
A41;OrderPoint;7891;6394;;Recuit
A42;OrderPoint;15930;3237;;Recuit
A43;OrderPoint;7734;729;;Recuit
A44;OrderPoint;16792;1555;;Recuit
A45;OrderPoint;17532;9310;;Recuit
A46;OrderPoint;16108;3367;;Recuit
A47;OrderPoint;13312;6007;;Recuit
A48;OrderPoint;12403;3917;;Recuit
A49;OrderPoint;3381;6216;;Recuit
A50;OrderPoint;14073;6122;;Recuit
A51;OrderPoint;16985;1514;;Recuit
A52;OrderPoint;13457;4614;;Recuit
A53;OrderPoint;1038;2976;;Recuit
A54;OrderPoint;11297;2564;;Recuit
A55;OrderPoint;12054;8218;;Recuit
A56;OrderPoint;9834;4577;;Recuit
A57;OrderPoint;9700;2502;;Recuit
A58;OrderPoint;2263;3898;;Recuit
A59;OrderPoint;11855;3965;;Recuit
A60;OrderPoint;12003;2839;;Recuit
