Name;Method;Quantité Maximum;Pt Commande/Période;1er Commande
A01;Replenishement;43776;902;52
A02;Replenishement;30793;42488;75790
A03;ControlPoint;3189;2419;1429
A04;ControlPoint;19768;54183;67504
A05;Replenishement;99669;76888;127
A06;ControlPoint;98134;99534;65787
A07;ControlPoint;7243;23017;65568
A08;ControlPoint;14698;31906;13602
A09;Replenishement;56761;82327;57886
A10;ControlPoint;9454;8850;33095
A11;Replenishement;13758;26427;108
A12;ControlPoint;591;3715;59215
A13;Replenishement;64026;6597;10267
A14;Replenishement;26306;65033;54196
A15;ControlPoint;34290;69613;57403
A16;ControlPoint;2455;4002;88996
A17;ControlPoint;7192;7505;46199
A18;Replenishement;26823;69792;87732
A19;Replenishement;99322;17604;133
A20;Replenishement;81384;1794;3174
