Name;Method;Quantité Maximum;Pt Commande/Période;1er Commande;Metaheuristique
A01;OrderPoint;1996;1966;41704;Recuit
A02;Replenishment;96652;6;1;Recuit
A03;OrderPoint;3164;1940;8912;Recuit
A04;OrderPoint;18914;47943;70561;Recuit
A05;Replenishment;92772;7;1;Recuit
A06;OrderPoint;99906;99996;59026;Recuit
A07;OrderPoint;7102;21420;76603;Recuit
A08;OrderPoint;17912;31034;29668;Recuit
A09;OrderPoint;14261;22459;89880;Recuit
A10;OrderPoint;8771;5038;69488;Recuit
A11;OrderPoint;1237;2754;59932;Recuit
A12;OrderPoint;682;1554;61568;Recuit
A13;Replenishment;94860;9;1;Recuit
A14;OrderPoint;3838;4805;54743;Recuit
A15;OrderPoint;30955;64264;69758;Recuit
A16;OrderPoint;2610;3657;55931;Recuit
A17;OrderPoint;6959;6840;72872;Recuit
A18;Replenishment;37096;1;1;Recuit
A19;Replenishment;93300;2;1;Recuit
A20;Recuit
