Name;Method;Quantité Maximum;Pt Commande/Période;1er Commande;Metaheuristique
A01;OrderPoint;11461;2727;;Recuit
A02;OrderPoint;1676;1795;;Recuit
A03;OrderPoint;15085;2971;;Recuit
A04;OrderPoint;16110;9475;;Recuit
A05;OrderPoint;11407;2095;;Recuit
A06;OrderPoint;8018;7596;;Recuit
A07;OrderPoint;14371;3655;;Recuit
A08;OrderPoint;15016;6313;;Recuit
A09;OrderPoint;18449;7013;;Recuit
A10;OrderPoint;14352;1597;;Recuit
A11;OrderPoint;21330;4116;;Recuit
A12;OrderPoint;14837;2674;;Recuit
A13;OrderPoint;17498;2424;;Recuit
A14;OrderPoint;14557;3304;;Recuit
A15;OrderPoint;18176;4500;;Recuit
A16;OrderPoint;10196;2838;;Recuit
A17;OrderPoint;18249;1767;;Recuit
A18;OrderPoint;17557;3467;;Recuit
A19;OrderPoint;13734;960;;Recuit
A20;OrderPoint;14266;1437;;Recuit
A21;OrderPoint;17572;1740;;Recuit
A22;OrderPoint;4803;8596;;Recuit
A23;OrderPoint;11763;12761;;Recuit
A24;OrderPoint;14460;3225;;Recuit
A25;OrderPoint;2066;2309;;Recuit
A26;OrderPoint;2589;5687;;Recuit
A27;OrderPoint;15309;9363;;Recuit
A28;OrderPoint;15119;3784;;Recuit
A29;OrderPoint;8615;6118;;Recuit
A30;OrderPoint;14874;3447;;Recuit
A31;OrderPoint;10381;619;;Recuit
A32;OrderPoint;17944;1338;;Recuit
A33;OrderPoint;15196;9071;;Recuit
A34;OrderPoint;20988;3219;;Recuit
A35;OrderPoint;14297;5476;;Recuit
A36;OrderPoint;15851;4172;;Recuit
A37;OrderPoint;3787;6992;;Recuit
A38;OrderPoint;11727;6515;;Recuit
A39;OrderPoint;11874;1471;;Recuit
A40;OrderPoint;15748;3838;;Recuit
A41;OrderPoint;1223;2971;;Recuit
A42;OrderPoint;11828;2397;;Recuit
A43;OrderPoint;7935;8080;;Recuit
A44;OrderPoint;11623;4116;;Recuit
A45;OrderPoint;11725;2686;;Recuit
A46;OrderPoint;2000;3728;;Recuit
A47;OrderPoint;11964;4140;;Recuit
A48;OrderPoint;6676;3146;;Recuit
A49;OrderPoint;10005;1451;;Recuit
A50;OrderPoint;1684;1585;;Recuit
A51;OrderPoint;14459;2834;;Recuit
A52;OrderPoint;11405;2304;;Recuit
A53;OrderPoint;14798;3428;;Recuit
A54;OrderPoint;5835;871;;Recuit
A55;OrderPoint;14403;3049;;Recuit
A56;OrderPoint;2040;3300;;Recuit
A57;OrderPoint;9828;4822;;Recuit
A58;OrderPoint;10451;3025;;Recuit
A59;OrderPoint;9838;3521;;Recuit
A60;OrderPoint;16754;1899;;Recuit
A61;OrderPoint;8013;5030;;Recuit
A62;OrderPoint;14423;693;;Recuit
A63;OrderPoint;11006;2441;;Recuit
A64;OrderPoint;569;790;;Recuit
A65;OrderPoint;13984;2833;;Recuit
A66;OrderPoint;13479;1985;;Recuit
A67;OrderPoint;6619;5595;;Recuit
A68;OrderPoint;15627;2924;;Recuit
A69;OrderPoint;8098;2561;;Recuit
A70;OrderPoint;10997;3239;;Recuit
A71;OrderPoint;10395;1574;;Recuit
A72;OrderPoint;10823;2167;;Recuit
A73;OrderPoint;2176;510;;Recuit
A74;OrderPoint;9295;1396;;Recuit
A75;OrderPoint;5336;2006;;Recuit
A76;OrderPoint;7336;6116;;Recuit
A77;OrderPoint;3522;5828;;Recuit
A78;OrderPoint;3333;3109;;Recuit
A79;OrderPoint;10224;2654;;Recuit
A80;OrderPoint;6502;104;;Recuit
A81;OrderPoint;8150;4185;;Recuit
A82;OrderPoint;11100;404;;Recuit
A83;OrderPoint;1669;675;;Recuit
A84;OrderPoint;7853;3085;;Recuit
A85;OrderPoint;7474;1020;;Recuit
A86;OrderPoint;10656;2370;;Recuit
A87;OrderPoint;10722;2752;;Recuit
A88;OrderPoint;7380;938;;Recuit
A89;OrderPoint;13020;1671;;Recuit
A90;OrderPoint;21992;6168;;Recuit
A91;OrderPoint;1830;1574;;Recuit
A92;OrderPoint;16819;1118;;Recuit
A93;OrderPoint;21917;7100;;Recuit
A94;OrderPoint;4721;1070;;Recuit
A95;OrderPoint;21890;4470;;Recuit
A96;OrderPoint;20660;7853;;Recuit
A97;OrderPoint;17879;2253;;Recuit
A98;OrderPoint;17096;7940;;Recuit
A99;OrderPoint;21879;6797;;Recuit
A100;OrderPoint;2078;1656;;Recuit
A101;OrderPoint;21539;6671;;Recuit
A102;OrderPoint;16841;6409;;Recuit
A103;OrderPoint;24531;1910;;Recuit
A104;OrderPoint;14985;6355;;Recuit
A105;OrderPoint;18029;998;;Recuit
A106;OrderPoint;13206;5526;;Recuit
A107;OrderPoint;22256;5258;;Recuit
A108;OrderPoint;25104;5057;;Recuit
A109;OrderPoint;20432;2425;;Recuit
A110;OrderPoint;29715;5144;;Recuit
A111;OrderPoint;13418;4373;;Recuit
A112;OrderPoint;22575;4149;;Recuit
A113;OrderPoint;15353;4393;;Recuit
A114;OrderPoint;23223;426;;Recuit
A115;OrderPoint;3513;516;;Recuit
A116;OrderPoint;19719;130;;Recuit
A117;OrderPoint;16996;2569;;Recuit
A118;OrderPoint;20519;8898;;Recuit
A119;OrderPoint;18872;5208;;Recuit
A120;OrderPoint;18513;1716;;Recuit
A121;OrderPoint;16965;4783;;Recuit
A122;OrderPoint;25845;706;;Recuit
A123;OrderPoint;21123;1334;;Recuit
A124;OrderPoint;18948;3857;;Recuit
A125;OrderPoint;14100;4060;;Recuit
A126;OrderPoint;18386;1864;;Recuit
A127;OrderPoint;2739;4397;;Recuit
A128;OrderPoint;14983;3221;;Recuit
A129;OrderPoint;2244;412;;Recuit
A130;OrderPoint;27055;7646;;Recuit
A131;OrderPoint;25002;5610;;Recuit
A132;OrderPoint;1711;3318;;Recuit
A133;OrderPoint;6361;2657;;Recuit
A134;OrderPoint;11324;1945;;Recuit
A135;OrderPoint;9020;797;;Recuit
A136;OrderPoint;13354;2412;;Recuit
A137;OrderPoint;7667;1849;;Recuit
A138;OrderPoint;28782;7639;;Recuit
A139;OrderPoint;25615;4317;;Recuit
A140;OrderPoint;11007;4341;;Recuit
A141;OrderPoint;13051;4231;;Recuit
A142;OrderPoint;4171;3331;;Recuit
A143;OrderPoint;26281;5471;;Recuit
A144;OrderPoint;25044;1928;;Recuit
A145;OrderPoint;15840;474;;Recuit
A146;OrderPoint;17329;3919;;Recuit
A147;OrderPoint;3841;4188;;Recuit
A148;OrderPoint;5707;7554;;Recuit
A149;OrderPoint;16140;4803;;Recuit
A150;OrderPoint;14635;600;;Recuit
A151;OrderPoint;14015;1749;;Recuit
A152;OrderPoint;18183;3626;;Recuit
A153;OrderPoint;27943;2476;;Recuit
A154;OrderPoint;2389;1672;;Recuit
A155;OrderPoint;3329;2355;;Recuit
A156;OrderPoint;4011;1591;;Recuit
A157;OrderPoint;2680;3149;;Recuit
A158;OrderPoint;5919;6620;;Recuit
A159;OrderPoint;7319;3276;;Recuit
A160;OrderPoint;7674;2290;;Recuit
