Name;Method;Value1;Value2;Value3
A01;ControlPoint;36558;67216;74399
Name;Method;Value1;Value2;Value3
A01;Replenishement;99910;80638;88
Name;Method;Value1;Value2;Value3
A01;Replenishement;99648;58304;218
Name;Method;Value1;Value2;Value3
A01;ControlPoint;37776;67399;34284
Name;Method;Value1;Value2;Value3
A01;ControlPoint;9380;7028;90702
Name;Method;Value1;Value2;Value3
Name;Method;Value1;Value2;Value3
A01;Replenishement;40722;36206;31557
A01;ControlPoint;56067;58166;1806
Name;Method;Value1;Value2;Value3
A01;Replenishement;323;51677;69800
Name;Method;Value1;Value2;Value3
A01;Replenishement;99767;87411;156
Name;Method;Value1;Value2;Value3
A01;ControlPoint;55221;58396;61951
Name;Method;Value1;Value2;Value3
A01;Replenishement;99126;52294;44
